uid,total_facebook_statuses,account_membership_period,service_support_calls,number_of_snaps,total_whatsapp_charge,sub_country_code,total_twitter_tweets,country,total_email_characters,email_plan,total_whatsapp_msg_characters,social_account_number,total_whatsapp_msgs,total_facebook_charge,total_twitter_charge,snapchat_plan,total_email_charge,total_twitter_tweet_characters,total_emails,total_facebook_status_characters,turn_anti_social
1006,111,48,1,43,10.49,510,64,UT,,no,233.1,340-3075,96,29.24,17.02,yes,2.16,200.2,5,,0
1007,73,54,3,0,4.59,408,100,MT,14.7,no,102.1,418-6412,68,22.83,13.22,no,3.97,155.5,4,134.3,0
1008,119,79,3,0,,510,121,FL,14,no,194.8,334-7443,140,22.13,24.73,no,3.78,290.9,6,130.2,0
1009,57,168,2,42,7.83,415,98,MO,11.4,no,173.9,339-9026,124,16.56,17.31,yes,3.08,203.6,2,97.4,0
1010,94,21,3,19,6.96,415,101,NM,12.9,no,154.7,334-9182,78,22.56,17.39,yes,3.48,204.6,7,132.7,0
1011,101,144,0,0,10.29,415,127,DC,11.6,no,228.6,336-7696,68,22.66,21.72,no,3.13,255.5,2,,0
1012,83,113,5,20,12.22,408,56,KY,8.7,no,271.5,403-2673,100,26.83,13.73,yes,2.35,161.5,2,157.8,1
1013,70,130,0,0,10.78,510,99,WA,3.5,no,239.5,406-7726,83,21.13,23.01,no,0.95,270.7,6,124.3,0
1014,140,172,3,0,11.91,415,84,LA,7.1,no,264.6,392-8905,83,36.67,12.44,no,1.92,146.3,1,215.7,0
1015,73,54,2,39,5.81,408,117,WY,12.5,no,129.2,405-7850,117,24.46,17.88,yes,3.38,210.3,8,143.9,0
1016,78,129,1,0,5.03,415,85,FL,5.9,yes,111.7,355-4992,146,45.46,17.36,no,1.59,204.2,4,267.4,0
1017,100,114,2,0,13.13,415,102,ID,13.3,no,291.8,381-2376,120,34.36,16.63,no,3.59,195.7,5,202.1,0
1018,93,81,2,0,8.7,415,108,MN,10.4,no,193.3,369-2625,71,33.73,17.93,no,2.81,210.9,6,,0
1019,102,108,0,0,11.31,415,127,NJ,10.6,no,251.4,339-4068,104,40.68,18.99,no,2.86,223.4,6,239.3,0
1020,111,70,2,0,7.7,408,115,CT,10.6,no,171.2,339-5329,105,33.76,18.18,no,2.86,213.9,6,198.6,0
1021,119,97,1,0,6.84,415,109,VT,6.5,no,152.1,328-2236,76,19.16,18.5,no,1.76,217.7,5,112.7,0
1022,94,100,1,25,8.54,408,112,AL,13,no,189.8,333-3447,109,41.92,12.02,yes,3.51,141.4,5,246.6,0
1023,118,131,1,30,9.82,415,81,HI,6.7,no,218.2,406-8324,90,29.58,17.45,yes,1.81,205.3,3,,0
1024,92,101,4,0,9.89,415,117,SC,13.5,no,219.7,345-4589,125,26.93,15.98,no,3.65,188,4,158.4,1
1025,97,90,1,0,5.4,408,102,NH,7.1,no,120,393-7322,126,23.83,18.18,no,1.92,213.9,2,140.2,0
1026,99,68,3,0,,415,85,TN,11,no,202,397-1659,111,37.88,14.94,no,2.97,175.8,3,222.8,0
1027,103,45,1,0,10.34,415,134,DC,9.7,no,229.7,384-6264,92,16.34,20.98,no,2.62,246.8,4,96.1,0
1028,141,113,2,0,7.89,510,72,IA,11.9,no,175.3,335-8427,123,26.52,21.83,no,3.21,256.8,5,156,0
1029,99,143,0,0,9.14,415,128,OH,4.5,no,203,337-7167,84,37.96,14.2,no,1.22,,4,223.3,1
1030,81,102,1,0,7.54,408,112,AL,15.8,no,167.6,364-7622,109,38.2,11,no,4.27,129.4,6,224.7,0
1031,85,94,4,0,11.07,408,98,AZ,9.2,no,245.9,354-7339,97,30.91,17.2,no,2.48,202.4,2,181.8,0
1032,132,85,3,0,10.06,510,101,GA,,no,223.5,395-1962,75,37.79,19.68,no,2.97,231.5,2,222.3,0
1033,79,107,1,0,6.75,415,124,KY,12.1,no,150,330-4419,138,26.71,13.82,no,3.27,162.6,6,157.1,0
1034,55,76,1,0,10.76,415,108,AK,5.8,no,239.1,404-1931,95,24.43,14.71,no,1.57,173.1,6,143.7,0
1035,81,115,1,29,,510,109,DC,11.5,no,201.2,406-6669,87,37.84,16.18,yes,3.11,190.3,2,,0
1036,89,80,0,0,10.59,415,78,WV,11.8,no,235.3,382-3512,131,25.76,11.19,no,3.19,131.7,4,,0
1037,110,145,2,0,7.52,415,117,TX,4.8,no,167,351-4288,108,31.94,16.75,no,1.3,197,4,,0
1038,91,69,0,0,9.17,510,57,MA,11.4,no,203.8,352-5000,90,33.17,22.23,no,3.08,,5,195.1,0
1039,75,150,1,28,9.07,415,80,MN,11,no,201.6,393-6376,130,29.65,14.44,yes,2.97,169.9,4,174.4,0
1040,109,73,1,0,9.64,408,67,TX,10.7,no,214.2,340-8323,152,48.69,15.15,no,2.89,178.2,14,,1
1041,125,128,1,0,,415,93,NJ,13.9,no,208.9,358-9095,68,40.44,21.05,no,3.75,247.6,4,237.9,1
1042,106,90,2,29,6.84,415,113,IL,11.1,no,152.1,378-7299,120,31.55,18.67,yes,3,219.7,5,185.6,0
1043,115,115,3,0,,408,106,AR,17,no,232.3,338-1400,65,45.56,13.06,no,4.59,153.6,1,268,0
1044,133,104,1,0,,408,98,WY,,no,215.1,366-3917,112,31.21,10.26,no,3.43,120.7,2,183.6,0
1045,118,101,5,0,7.65,408,79,OK,13.5,no,170.1,345-1524,93,15.25,22.11,no,3.65,260.1,11,,1
1046,121,90,2,0,,415,104,WY,8,no,226.3,416-2825,103,35.22,24.86,no,2.16,292.5,1,,0
1047,74,131,1,0,8.57,510,90,WY,15.8,no,190.5,408-9779,114,18.85,9.83,no,4.27,115.6,9,,0
1048,65,34,1,0,13.16,408,99,SD,5,no,292.4,392-5716,105,30.7,23.83,no,1.35,280.4,3,180.6,0
1049,85,122,1,45,9.16,408,93,MS,14,no,203.5,402-8930,110,25.13,12.53,yes,3.78,147.4,5,147.8,0
1050,98,129,1,0,11.75,415,101,NV,12.5,no,261.2,420-3028,123,25.5,19.75,no,3.38,232.4,6,150,0
1051,117,122,1,0,10.62,415,93,AR,11.5,yes,236,420-4089,97,24.87,18.59,no,3.11,218.7,5,146.3,0
1052,114,111,0,0,8.37,510,102,WA,9.8,no,185.9,407-9841,97,25.87,11.66,no,2.65,137.2,3,152.2,0
1053,95,79,1,17,11.68,415,56,MD,12,no,259.6,358-4412,107,40.24,22.4,yes,3.24,263.5,4,,0
1054,104,132,1,0,8.63,408,132,MI,8.9,no,191.7,389-4608,87,49.5,19.91,no,2.4,234.2,3,,1
1055,83,117,1,0,5.99,415,101,KS,9.6,no,133.1,372-1493,113,31.42,21.13,no,2.59,248.6,8,184.8,0
1056,82,54,2,39,10.64,510,60,CO,11.3,no,236.4,360-1643,113,19.99,13.53,yes,3.05,159.2,10,117.6,0
1057,85,132,0,0,,408,76,AL,11.2,no,208.4,350-9318,97,37.81,14.06,no,3.02,165.4,4,222.4,0
1058,110,36,1,25,,510,67,ME,9.1,no,147.4,335-3110,74,25.98,20.64,yes,2.46,242.8,2,152.8,0
1059,108,100,1,0,4.04,415,81,AZ,4.3,no,89.7,390-1552,81,22.29,14.98,no,1.16,176.2,4,131.1,0
1060,117,112,2,36,7.99,510,82,MO,10,no,177.6,409-1244,118,19.33,13.39,yes,2.7,157.5,3,113.7,0
1061,94,38,3,0,10.05,415,95,OR,,no,223.3,375-8013,90,33.05,15.87,no,2.92,186.7,5,194.4,0
1062,129,130,1,0,6.38,408,104,IN,12.6,no,141.8,334-9818,124,19.65,14.26,no,3.4,167.8,9,115.6,0
1063,68,67,1,31,9.89,510,73,NE,13.2,no,219.8,362-7951,99,29.78,16.93,yes,3.56,199.2,6,175.2,0
1064,85,92,2,0,9.32,510,125,OK,9.6,no,207.2,411-8140,107,29.97,7.94,no,2.59,93.4,1,176.3,0
1065,130,137,3,0,10.08,415,83,CT,7.3,no,224,372-5384,61,19.55,11.71,no,1.97,137.8,4,115,0
1066,121,55,1,0,9.86,415,91,IL,8.2,yes,219,398-5970,98,45.83,14.59,no,2.21,171.7,6,269.6,0
1067,114,88,1,25,10.28,415,74,IN,13,yes,228.4,408-4870,117,49.05,17.29,yes,3.51,203.4,5,288.5,0
1068,111,155,3,0,7.58,415,92,FL,11.3,no,168.5,343-4772,122,30.84,14.25,no,3.05,167.7,3,181.4,0
1069,82,117,1,0,8.52,408,108,IL,11.5,no,189.3,373-9108,97,20.23,15.94,no,3.11,187.5,3,119,0
1070,78,99,2,0,6.47,510,120,VA,14.3,no,143.7,352-4401,140,21.81,18.3,no,3.86,215.3,9,,0
1071,91,127,1,0,9.15,408,78,WA,13.7,no,203.4,386-7281,110,24.94,17.3,no,3.7,,3,146.7,0
1072,139,86,1,31,11.11,408,118,AZ,,no,246.9,405-1842,121,28.49,9.61,yes,3.29,113,6,167.6,0
1073,105,157,1,0,8.91,415,80,WA,9.4,no,198.1,341-8467,93,25.96,21.89,no,2.54,257.5,4,152.7,0
1074,109,95,0,37,9.23,408,99,NJ,4.1,yes,205.1,348-8015,82,37.43,15.75,yes,1.11,185.3,2,,1
1075,84,116,0,0,9.7,415,89,VT,13.3,no,215.5,408-4911,77,22,13.37,no,3.59,157.3,3,129.4,0
1076,109,87,3,0,13.02,510,86,NJ,14.5,no,289.3,387-2799,83,37.94,10.84,no,3.92,127.5,4,223.2,0
1077,122,96,3,0,9.56,510,116,NJ,9.8,no,212.4,368-6111,89,25.5,18.57,no,2.65,218.5,1,,0
1078,79,112,1,23,8.73,415,102,NY,10.3,no,193.9,404-9504,101,48.72,26.8,yes,2.78,315.3,6,286.6,0
1079,94,111,1,21,7.5,415,116,SC,7.1,no,166.7,418-8969,108,21.61,19.41,yes,1.92,228.3,3,127.1,0
1080,74,40,2,41,9.63,415,88,WA,,no,214.1,352-8305,102,25.18,14.41,yes,1.67,169.5,5,148.1,0
1081,95,78,0,0,8.47,408,121,WY,,no,188.2,384-3902,109,37.4,15.29,no,3.11,,5,,0
1082,72,79,1,0,10.94,510,102,OK,8.4,no,243.2,381-4565,107,24.99,14.08,no,2.27,165.7,9,147,0
1083,97,72,0,0,13.31,415,96,HI,8.3,no,295.8,410-3503,84,18.55,9.83,no,2.24,115.7,6,109.1,0
1084,102,164,3,27,10.98,510,113,OH,9.6,no,244.1,347-1263,127,27.15,14.35,yes,2.59,168.8,9,159.7,0
1085,104,107,3,0,14,408,94,WI,7.3,no,311.1,392-5296,79,22.78,14.83,no,1.97,174.5,3,134,0
1086,77,160,1,0,10.29,408,117,NY,5.6,no,228.6,352-6084,117,36.86,17.62,no,1.51,207.3,2,216.8,0
1087,104,139,3,0,9.14,415,96,WY,13,no,203.2,337-7501,101,32.78,19.92,no,3.51,,3,192.8,0
1088,102,77,1,0,10.54,415,144,NE,2,no,234.3,350-1532,89,28.8,15.72,no,0.54,184.9,7,169.4,0
1089,106,107,3,0,,415,89,AR,12.9,yes,241.1,343-5219,123,22.66,15.55,no,3.48,182.9,2,,1
1090,108,43,1,0,8.13,415,80,WV,11.3,no,180.6,348-5767,103,33.98,24.51,no,3.05,288.4,7,199.9,0
1091,48,28,6,0,11.77,415,112,MT,8.3,no,261.6,357-9136,122,20.69,10.69,no,2.24,125.8,2,121.7,1
1092,83,149,3,0,,415,97,OR,10,no,219.6,331-1391,80,41.23,20.86,no,2.7,245.4,3,242.5,1
1093,74,13,1,0,9.75,415,92,WV,11.3,no,216.7,334-6142,96,24.89,12.62,no,3.05,148.5,3,146.4,0
1094,98,19,0,0,8.2,415,121,AL,4.5,yes,182.2,380-3910,95,40.41,17.6,no,1.22,207.1,4,237.7,0
1095,119,52,2,21,,510,95,WV,5.3,no,157.4,373-8920,94,33.27,9.03,yes,1.43,106.2,3,195.7,0
1096,136,104,4,23,6.16,415,92,VA,13.3,no,136.9,386-9790,102,47.63,18.74,yes,3.59,220.5,3,280.2,0
1097,92,73,1,0,16.42,408,87,GA,9.1,no,364.9,385-6952,106,26.79,16.86,no,2.46,198.3,4,157.6,0
1098,84,120,5,27,11.54,510,73,CO,10.2,no,256.5,328-8147,94,26.1,16.49,yes,2.75,,7,153.5,0
1099,92,102,3,31,7.57,415,108,MA,6.3,no,168.2,392-1734,68,21.3,12,yes,1.7,141.2,2,125.3,0
1100,96,30,2,0,8.1,510,122,WV,9.1,no,180.1,411-8043,89,27.59,20.74,no,2.46,244,4,162.3,0
1101,146,44,1,0,10.83,415,83,NE,10.6,no,240.7,416-8697,106,40.85,13.99,no,2.86,164.6,2,240.3,0
1102,108,105,1,0,13.22,415,124,NM,10.8,no,293.7,362-7870,72,32.93,15.57,no,2.92,,5,193.7,0
1103,82,105,1,29,,415,110,NV,13.2,yes,190.5,380-7742,100,37.52,18.5,yes,3.56,217.7,6,220.7,1
1104,119,116,2,0,8.58,408,123,SD,,no,190.7,393-3535,128,28.53,12.07,no,1.97,142,4,167.8,0
1105,117,53,9,0,10.22,408,123,NJ,10.1,no,227.2,416-6886,124,38.86,11.29,no,2.73,,2,228.6,1
1106,111,105,2,40,9.95,415,110,UT,8.1,no,221.1,395-7857,115,40.21,9.95,yes,2.19,117,3,236.5,0
1107,89,98,0,22,4.84,415,143,TN,9.7,no,107.6,376-9249,42,47.31,7.94,yes,2.62,93.4,5,278.3,0
1108,62,103,2,0,10.35,510,53,AK,7.8,no,230.1,359-9454,96,32.45,19.26,no,2.11,226.6,3,190.9,0
1109,89,81,3,0,9.58,510,69,IA,8.7,no,212.9,328-2647,71,34.6,24.62,no,2.35,289.6,3,203.5,0
1110,120,167,4,0,7.57,415,96,KS,11.1,no,168.3,409-4734,97,22.37,17.96,no,3,211.3,4,131.6,1
1111,72,115,2,33,10.9,415,157,HI,14.2,no,242.3,336-6128,138,24.65,16.53,yes,3.83,194.5,3,145,0
1112,148,148,2,0,10.15,408,87,NM,9.8,no,225.5,348-6008,99,26.11,22.28,no,2.65,262.1,3,153.6,0
1113,101,29,2,37,6.29,415,79,OH,5.7,yes,139.8,397-3058,106,39.95,15.58,yes,1.54,183.3,7,235,0
1114,86,77,4,0,11.03,510,78,CA,17.8,no,245.2,335-2261,100,29.84,17.43,no,4.81,205.1,3,175.5,0
1115,83,149,1,0,11.89,408,81,OK,8.8,no,264.2,353-4002,79,31.89,17.12,no,2.38,201.4,1,187.6,0
1116,126,106,4,32,,408,93,FL,14.1,no,173.1,385-2488,86,28.2,18.4,yes,3.81,216.5,8,165.9,0
1117,100,120,1,0,5.36,408,83,MI,8.3,no,119.2,409-3786,86,28.05,26.96,no,2.24,317.2,8,165,0
1118,76,137,1,0,8.41,415,118,PA,12.1,no,186.9,365-1664,129,36.7,12.36,no,3.27,145.4,4,215.9,0
1119,89,42,0,0,6.44,408,123,MD,4,no,143.2,337-7163,105,33.41,20.51,no,1.08,,7,196.5,0
1120,89,65,2,0,8.43,510,88,IL,5.5,no,187.4,369-8871,102,32.64,11.86,no,1.49,139.5,4,192,0
1121,100,91,1,0,9.3,510,104,NY,11.1,no,206.7,394-8256,85,18.67,16.12,no,3,189.6,3,109.8,0
1122,100,117,1,0,7.73,510,84,NH,,yes,171.8,397-1766,84,9.21,25.77,no,2.32,303.2,2,54.2,1
1123,133,131,0,0,6.42,415,116,RI,10.1,no,142.7,360-1776,105,19.18,16.95,no,2.73,199.4,5,112.8,0
1124,136,128,0,32,8.61,510,80,VT,10.8,no,191.4,346-8368,101,37.89,22.27,yes,2.92,262,4,222.9,0
1125,80,67,2,0,8.79,415,81,MD,11.9,no,195.4,330-1835,111,29.19,9.38,no,3.21,110.4,4,171.7,0
1126,127,42,0,0,7.1,415,45,IA,9,no,157.7,348-1528,128,26.42,13.95,no,2.43,164.1,3,155.4,0
1127,108,51,0,0,9.64,415,85,DE,14.1,yes,214.2,420-6465,92,26.11,19.8,no,3.81,232.9,4,153.6,1
1128,113,130,1,0,5.17,415,111,FL,,no,114.9,343-9946,140,27.68,24.68,no,1.94,,3,162.8,0
1129,110,80,0,0,8.53,415,88,MN,13.1,no,189.6,332-2137,87,17.99,3.73,no,3.54,43.9,5,105.8,0
1130,98,64,2,0,8.06,415,103,SD,10.7,no,179,395-6758,89,29.67,15.32,no,2.89,,2,174.5,0
1131,102,74,2,0,12.07,510,101,WV,11.7,no,268.2,392-6073,98,21.08,22.28,no,3.16,262.1,2,124,0
1132,88,104,0,0,,510,85,ID,12.4,no,261.6,403-6565,105,16.52,13.23,no,3.35,155.6,5,97.2,0
1133,126,58,4,0,7.14,510,108,WY,14.4,no,158.6,354-2762,88,35.72,21.16,no,3.89,248.9,2,210.1,0
1134,130,57,2,30,12.1,408,116,GA,11.4,yes,268.8,410-3782,94,39.87,16.59,yes,3.08,195.2,4,234.5,0
1135,102,100,1,0,6.04,415,97,WV,10.9,no,134.3,381-3735,93,28.22,20.07,no,2.94,236.1,4,166,0
1136,68,81,3,0,9.65,415,98,MI,17.9,yes,214.5,393-6840,97,25.4,14.61,no,4.83,171.9,3,149.4,1
1137,85,109,1,27,8.88,415,92,LA,,no,197.3,395-6195,97,28.37,18.8,yes,3.32,,4,,1
1138,96,83,2,0,7.27,408,78,WA,,no,161.5,338-4472,123,22.92,14.21,no,2.08,167.2,5,134.8,0
1139,96,190,0,0,5.1,415,96,OR,6.6,no,113.3,386-8984,117,24.29,15.12,no,1.78,177.9,4,142.9,0
1140,101,140,3,0,4.97,415,94,MI,,no,110.4,419-9097,98,39.42,13.61,no,3.86,160.1,6,231.9,0
1141,114,74,3,0,7.21,415,121,MI,10.6,no,160.3,386-4215,85,21.22,11.31,no,2.86,133,7,124.8,0
1142,112,125,0,34,5.29,510,108,SD,10.3,no,117.6,393-9677,102,45.63,18.89,yes,2.78,222.2,3,268.4,0
1143,86,100,1,0,6.59,415,133,MT,12.5,no,146.4,385-7148,106,16.41,17.87,no,3.38,210.2,3,96.5,1
1144,84,103,0,18,7.72,415,84,CA,,no,171.5,402-6744,112,25.48,14.53,yes,3.11,170.9,7,149.9,1
1145,123,85,2,37,9.54,408,90,NM,9.5,no,211.9,338-9210,76,39.03,11.25,yes,2.57,132.3,8,229.6,0
1146,98,92,2,0,7.69,415,98,NE,10.9,no,171,386-2759,110,30.84,13.98,no,2.94,164.5,4,181.4,0
1147,132,81,1,0,,415,91,NV,5.2,no,186.4,395-5783,109,24.72,10.99,no,1.4,129.3,4,145.4,0
1148,98,20,0,35,7.45,415,127,SD,7.1,no,165.6,334-4678,125,29.16,13.01,yes,1.92,153.1,3,171.5,0
1149,96,90,1,0,6.23,415,104,NM,13,no,138.4,347-6164,87,28.48,11.82,no,3.51,139.1,1,167.5,0
1150,80,118,2,0,9.19,510,87,WA,10.8,no,204.3,422-2571,115,19.21,12.76,no,2.92,150.1,4,113,0
1151,100,127,2,0,10.49,415,113,KS,6.8,no,233.1,345-2931,96,37.57,13.66,no,1.84,160.7,4,,0
1152,67,78,0,0,7.9,408,127,AK,14.6,no,175.5,336-5406,102,38.27,16.93,no,3.94,199.2,2,225.1,0
1153,123,36,2,43,14.67,408,117,SC,8.6,no,325.9,359-5091,105,5.08,10.97,yes,2.32,,6,29.9,0
1154,97,85,2,0,7.73,415,95,AR,9.7,no,171.7,380-3974,88,16.44,16.47,no,2.62,193.8,3,96.7,0
1155,141,161,1,0,10.82,510,107,SC,8.9,no,240.5,343-2592,93,50.64,20.24,no,2.4,238.1,5,297.9,1
1156,119,87,1,0,5.99,510,119,NM,11,yes,133.1,417-1272,88,28.44,16.87,no,2.97,,6,167.3,0
1157,90,125,2,0,9.49,408,138,AL,11.6,no,210.8,384-9243,106,28.78,13.26,no,3.13,156,6,169.3,0
1158,127,130,1,0,12.15,415,52,TX,14.3,no,270.1,396-8400,107,20.49,16.12,no,3.86,189.7,2,120.5,0
1159,66,106,0,0,7.94,408,82,WA,12.9,no,176.4,416-4464,107,32.91,20.25,no,3.48,238.2,3,193.6,0
1160,124,115,1,24,7.42,510,129,FL,9.6,no,164.8,351-4616,114,24.16,15.59,yes,2.59,,4,142.1,0
1161,104,83,2,0,10.31,415,98,ID,9.5,no,229,350-4297,73,27.08,17.2,no,2.57,202.3,3,159.3,0
1162,127,99,4,0,9.18,415,92,IN,9.9,yes,204.1,397-8512,99,33.52,13.26,no,2.67,156,6,197.2,0
1163,86,136,1,35,9.64,415,119,VA,6.9,no,214.2,384-7216,104,34.94,25.37,yes,1.86,298.5,4,205.5,0
1164,116,74,0,0,11.58,415,63,MD,,no,257.4,331-9293,97,26.47,14.76,no,2.19,173.7,4,155.7,0
1165,100,183,1,0,13.69,415,78,NM,9.5,no,304.2,397-7453,107,32.3,20.96,no,2.57,,4,190,0
1166,94,67,2,28,7.18,415,73,AL,,no,159.6,338-7683,114,16.15,24.75,yes,2.7,291.2,2,,0
1167,106,72,3,0,9.64,415,136,UT,12.2,no,214.2,368-8026,106,20.09,14.21,no,3.29,167.2,3,118.2,0
1168,106,106,2,0,5.05,408,113,SC,11.4,no,112.3,330-4914,95,8.87,18.71,no,3.08,220.1,2,52.2,0
1169,104,111,1,13,10.23,408,98,HI,12.1,no,227.4,401-6671,94,32.83,9.49,yes,3.27,111.6,4,193.1,0
1170,116,80,0,0,8.73,415,93,CO,12.8,no,194.1,406-5710,100,33.12,17.84,no,3.46,209.9,3,194.8,0
1171,98,70,1,0,10.29,408,102,MD,15,no,228.6,333-1967,76,28.93,13.19,no,4.05,155.2,2,170.2,0
1172,120,163,1,0,,408,98,MD,8.8,no,188.3,338-1840,125,37.91,19.3,no,2.38,227,5,223,0
1173,93,50,3,31,8.73,408,119,TX,13.6,no,193.9,330-6436,103,51.46,20.44,yes,3.67,240.5,14,302.7,0
1174,118,92,0,0,7.61,408,95,CA,9.1,no,169,355-9324,116,42.4,17.98,no,2.46,211.5,3,249.4,0
1175,68,57,1,0,10.6,510,86,AR,12.7,no,235.5,393-3507,105,32.78,13.43,no,3.43,158,6,,0
1176,92,45,1,38,11.78,408,108,NC,7.7,no,261.8,373-2903,85,33.46,21.61,yes,2.08,254.2,2,,0
1177,108,127,2,0,7.77,510,124,IL,11.7,no,172.7,353-3285,113,37.43,16.01,no,3.16,188.4,3,220.2,0
1178,106,130,5,0,5.7,408,86,NC,16.9,yes,126.7,384-4938,123,36.75,30.91,no,4.56,363.7,2,216.2,1
1179,118,103,0,0,9.66,415,69,NC,10.3,no,214.7,396-4845,112,44.78,15.22,no,2.78,179.1,2,263.4,0
1180,114,56,1,0,10.65,415,110,KY,10.5,yes,236.7,347-1640,67,30.21,18.33,no,2.84,215.6,5,177.7,0
1181,102,107,0,0,8.35,415,117,MD,11.7,no,185.6,350-2384,92,41.12,10.79,no,3.16,126.9,6,241.9,0
1182,88,121,3,24,9.57,510,108,MA,7.5,no,212.6,355-9993,118,37.09,29.62,yes,2.03,348.5,7,218.2,0
1183,129,50,5,0,9.31,408,94,WV,5.6,no,206.9,348-7193,88,22.29,13.64,no,1.51,160.5,9,,1
1184,110,41,2,37,8.51,408,115,DC,7.3,no,189.1,329-6191,100,40.77,18.86,yes,1.97,221.9,1,239.8,0
1185,83,87,5,0,9.18,415,116,WY,9.7,no,203.9,353-3759,127,25.67,18.67,no,2.62,219.7,3,,1
1186,101,62,2,0,11.03,408,93,DE,11.2,no,245,377-9932,131,30.99,27.9,no,3.02,328.2,1,182.3,0
1187,99,108,0,0,9.28,510,87,DE,9.3,no,206.3,365-8779,78,28.83,22.45,no,2.51,264.1,4,,0
1188,97,75,5,21,10.69,415,106,NY,,no,237.5,374-8525,134,29.89,18.49,yes,1.43,217.5,4,175.8,0
1189,123,68,1,0,9.46,510,93,KS,11.4,no,210.3,414-9054,76,27.12,20.47,no,3.08,240.8,3,159.5,0
1190,133,84,1,0,10.55,408,73,WV,9.9,no,234.5,369-1220,69,24.96,14.59,no,2.67,,3,146.8,0
1191,106,151,0,0,7.21,408,87,IL,11.8,no,160.2,386-5303,88,29.8,12.27,no,3.19,144.3,5,175.3,0
1192,107,132,1,0,9.27,408,121,NM,11.5,no,206.1,415-5008,79,28.88,17.8,no,3.11,209.4,2,169.9,0
1193,82,154,2,32,9.23,510,134,IN,9,no,205,389-2631,74,32.69,14.05,yes,2.43,165.3,1,192.3,0
1194,88,149,4,0,9.21,415,110,NH,12.2,no,204.7,368-7706,119,20.26,14.31,no,3.29,168.3,6,119.2,1
1195,102,99,1,0,8.17,415,87,NY,11.4,no,181.5,386-4581,86,24.75,19.63,no,3.08,,7,145.6,0
1196,105,41,1,0,11.42,415,105,NY,9.6,no,253.7,393-9985,104,35.68,10.36,no,2.59,121.9,4,,0
1197,80,72,3,37,6.88,415,102,GA,14.7,no,152.8,362-1407,71,37.4,18.47,yes,3.97,217.3,6,220,0
1198,119,112,3,0,7.16,415,94,TN,16.4,no,159.1,339-6477,94,46.33,19.22,no,4.43,226.1,5,272.5,1
1199,119,156,1,0,4.25,408,106,CO,8.3,yes,94.4,377-4518,96,47.09,20.26,no,2.24,238.3,3,277,0
1200,121,39,1,36,9.99,415,113,OH,12,no,222.1,421-9752,131,24.09,19.75,yes,3.24,232.3,5,141.7,0
1201,77,150,4,0,,510,105,CT,9.2,no,238.7,411-8549,117,32.18,18.78,no,2.48,220.9,5,189.3,0
1202,143,109,1,0,10.93,415,105,ID,9.9,no,243,384-9682,116,31.3,17.99,no,2.67,211.7,2,184.1,0
1203,96,122,0,0,,415,120,AL,11.9,no,213.7,336-5920,91,39.53,17.47,no,3.21,205.5,2,232.5,0
1204,67,46,1,0,8.77,415,62,NY,9.7,no,194.8,414-5177,98,20.77,14.21,no,2.62,,6,122.2,0
1205,147,60,1,0,11.17,408,89,DC,13.5,no,248.2,355-3801,98,30.48,17.76,no,3.65,208.9,6,179.3,1
1206,93,154,3,0,9.26,415,119,NE,10.2,no,205.7,363-6896,121,32.54,17.46,no,2.75,205.4,3,191.4,0
1207,104,182,1,24,8.59,415,127,AL,11.6,no,191,418-3096,98,21.78,12.19,yes,3.13,,3,128.1,0
1208,107,50,1,0,,408,118,AK,8.7,no,202.6,362-8331,99,31.21,4.98,no,2.35,58.6,3,183.6,0
1209,103,95,0,0,10.35,415,90,UT,14,no,230,341-7112,117,26.84,22.07,no,3.78,259.6,2,157.9,0
1210,119,63,1,34,,510,91,WI,,no,195.7,395-1693,103,25.87,19.3,yes,3.32,227.1,5,152.2,0
1211,55,155,2,0,6.59,408,113,NC,8.3,no,146.5,417-3676,85,44.61,16.54,no,2.24,194.6,6,262.4,0
1212,115,17,6,31,10.09,510,59,TN,10,no,224.3,382-5401,102,26.03,15.8,yes,2.7,185.9,1,153.1,1
1213,83,80,1,0,4.23,415,86,OH,6.4,no,94,382-2453,98,33.59,13.98,no,1.73,164.5,6,197.6,0
1214,97,124,1,0,7.78,510,99,OH,15.3,no,172.8,362-1490,104,32.81,7.63,no,4.13,89.8,3,193,0
1215,85,78,0,0,5.83,415,105,UT,,no,129.6,390-9698,119,32.83,14.63,no,2.75,172.1,1,193.1,0
1216,107,67,6,0,9.36,408,104,VT,,no,207.9,410-5370,115,44.27,17.7,no,2.7,208.2,2,260.4,0
1217,85,133,0,0,12.88,510,116,FL,,no,286.3,392-8318,80,34.29,14.4,no,1.62,169.4,4,201.7,0
1218,133,75,1,0,13.1,510,121,VT,,no,291.2,377-8267,123,35.6,17.98,no,1.94,211.5,4,209.4,0
1219,104,124,0,0,11.18,415,123,AZ,14,no,248.5,360-1406,104,43.1,10.02,no,3.78,117.9,2,253.5,0
1220,100,80,1,0,11.39,415,107,AR,7.9,no,253.2,340-4953,62,21.13,14.71,no,2.13,,9,124.3,0
1221,106,93,1,0,13.66,510,89,SD,8.7,no,303.5,408-4836,114,55.78,12.89,no,2.35,151.7,3,328.1,1
1222,81,105,1,0,10.35,408,80,NM,8.5,no,230.1,376-7043,117,24.89,19.13,no,2.3,225.1,2,146.4,0
1223,80,125,4,0,10.49,510,94,MT,8.8,no,233.2,366-5829,135,24.34,7.49,no,2.38,,7,143.2,1
